x-axis,D0-D7,D8-D15
second,,
+33.2000E-03,0,128
+33.4000E-03,0,128
+33.6000E-03,0,128
+33.8000E-03,255,191
+34.0000E-03,10,176
+34.2000E-03,10,0
+34.4000E-03,10,0
+34.6000E-03,10,0
+34.8000E-03,10,0
+35.0000E-03,10,0
+35.2000E-03,10,0
+35.4000E-03,10,0
+35.6000E-03,10,0
+35.8000E-03,10,0
+36.0000E-03,10,0
+36.2000E-03,10,64
+36.4000E-03,0,64
+36.6000E-03,0,64
+36.8000E-03,0,64
+37.0000E-03,0,64
+37.2000E-03,0,64
+37.4000E-03,0,64
+37.6000E-03,0,64
+37.8000E-03,0,64
+38.0000E-03,0,64
+38.2000E-03,0,64
+38.4000E-03,0,64
+38.6000E-03,255,223
+38.8000E-03,15,208
+39.0000E-03,15,192
+39.2000E-03,15,0
+39.4000E-03,15,0
+39.6000E-03,15,0
+39.8000E-03,15,0
+40.0000E-03,15,0
+40.2000E-03,15,0
+40.4000E-03,15,0
+40.6000E-03,15,0
+40.8000E-03,15,0
+41.0000E-03,15,32
+41.2000E-03,0,32
+41.4000E-03,0,32
+41.6000E-03,0,32
+41.8000E-03,0,32
+42.0000E-03,0,32
+42.2000E-03,0,32
+42.4000E-03,0,32
+42.6000E-03,0,32
+42.8000E-03,0,32
+43.0000E-03,0,32
+43.2000E-03,0,32
+43.4000E-03,255,239
+43.6000E-03,255,239
+43.8000E-03,7,224
+44.0000E-03,7,0
+44.2000E-03,7,0
+44.4000E-03,7,0
+44.6000E-03,7,0
+44.8000E-03,7,0
+45.0000E-03,7,0
+45.2000E-03,7,0
+45.4000E-03,7,0
+45.6000E-03,7,0
+45.8000E-03,7,0
+46.0000E-03,7,16
+46.2000E-03,0,16
+46.4000E-03,0,16
+46.6000E-03,0,16
+46.8000E-03,0,16
+47.0000E-03,0,16
+47.2000E-03,0,16
+47.4000E-03,0,16
+47.6000E-03,0,16
+47.8000E-03,0,16
+48.0000E-03,0,16
+48.2000E-03,0,16
+48.4000E-03,255,127
+48.6000E-03,15,112
+48.8000E-03,15,0
+49.0000E-03,15,0
+49.2000E-03,15,0
+49.4000E-03,15,0
+49.6000E-03,15,0
+49.8000E-03,15,0
+50.0000E-03,15,0
+50.2000E-03,15,0
+50.4000E-03,15,0
+50.6000E-03,15,0
+50.8000E-03,15,128
+51.0000E-03,0,128
+51.2000E-03,0,128
+51.4000E-03,0,128
